,,,"Newell County, Municipal district [Census subdivision], Alberta",,,,,,"Alberta [Province]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
"Knowledge of official languages","  French only",,       0,,       0,,       5,,    3895,,    1725,,    2165,
"Knowledge of official languages","  English and French",,     135,,      60,,      75,,  264720,,  124400,,  140315,
"Knowledge of official languages","  Neither English nor French",,     100,,      50,,      50,,   59280,,   24715,,   34565,
"First official language spoken","Total - First official language spoken for the total population excluding institutional residents - 100% data",16,    7525,,    3885,,    3635,, 4026650,, 2020510,, 2006140,
"First official language spoken","  English",,    7375,,    3815,,    3560,, 3880685,, 1950980,, 1929705,
"First official language spoken","  French",,      45,,      20,,      25,,   71535,,   37205,,   34330,
"First official language spoken","  English and French",,       5,,       0,,       0,,   16605,,    8350,,    8255,
"First official language spoken","  Neither English nor French",,      95,,      50,,      45,,   57830,,   23970,,   33860,
"First official language spoken","Official language minority (number)",17,      45,,      20,,      25,,   79840,,   41380,,   38455,
"First official language spoken","Official language minority (percentage)",17,    0.6,,    0.5,,    0.7,,    2.0,,    2.0,,    1.9,
"Mother tongue","Total - Mother tongue for the total population excluding institutional residents - 100% data",18,    7525,,    3890,,    3635,, 4026650,, 2020510,, 2006140,
"Mother tongue","  Single responses",,    7455,,    3850,,    3600,, 3934580,, 1975615,, 1958970,
"Mother tongue","    Official languages",,    5655,,    2930,,    2725,, 3063640,, 1552475,, 1511165,
"Mother tongue","      English",,    5605,,    2905,,    2700,, 2991485,, 1515025,, 1476460,
"Mother tongue","      French",,      55,,      25,,      30,,   72150,,   37450,,   34705,
"Mother tongue","    Non-official languages",,    1795,,     925,,     870,,  870940,,  423140,,  447805,
"Mother tongue","      Aboriginal languages",,       0,,       0,,       0,,   23835,,   11290,,   12550,
"Mother tongue","        Algonquian languages",,       0,,       0,,       0,,   18295,,    8665,,    9630,
"Mother tongue","          Blackfoot",,       0,,       0,,       0,,    2750,,    1305,,    1445,
"Mother tongue","          Cree-Montagnais languages",,       0,,       0,,       0,,   14960,,    7105,,    7850,
"Mother tongue","            Atikamekw",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Montagnais (Innu)",,       0,,       0,,       0,,       0,,       5,,       0,
"Mother tongue","            Moose Cree",,       0,,       0,,       0,,      10,,       0,,       5,
"Mother tongue","            Naskapi",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Northern East Cree",,       0,,       0,,       0,,      50,,      15,,      35,
"Mother tongue","            Plains Cree",,       0,,       0,,       0,,     720,,     280,,     435,
"Mother tongue","            Southern East Cree",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Swampy Cree",,       0,,       0,,       0,,      50,,      20,,      35,
"Mother tongue","            Woods Cree",,       0,,       0,,       0,,     910,,     430,,     480,
"Mother tongue","            Cree; n.o.s.",,       0,,       0,,       0,,   13220,,    6355,,    6865,
"Mother tongue","          Eastern Algonquian languages",,       0,,       0,,       0,,      30,,      15,,      15,
"Mother tongue","            Malecite",,       0,,       0,,       0,,       0,,       5,,       0,
"Mother tongue","            Mi'kmaq",,       0,,       0,,       0,,      35,,      20,,      15,
"Mother tongue","          Ojibway-Potawatomi languages",,       0,,       0,,       0,,     550,,     235,,     315,
"Mother tongue","            Algonquin",,       0,,       0,,       0,,       5,,       0,,       5,
"Mother tongue","            Ojibway",,       0,,       5,,       0,,     525,,     230,,     300,
"Mother tongue","            Oji-Cree",,       0,,       0,,       0,,      15,,       5,,      15,
"Mother tongue","            Ottawa (Odawa)",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Algonquian languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,       5,
"Mother tongue","        Athabaskan languages",,       0,,       0,,       0,,    1865,,     865,,    1000,
"Mother tongue","          Northern Athabaskan languages",,       0,,       0,,       0,,    1855,,     860,,     990,
"Mother tongue","            Babine (Wetsuwet'en)",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Beaver",,       0,,       0,,       0,,      35,,      15,,      15,
"Mother tongue","            Carrier",,       0,,       0,,       0,,      15,,       0,,      15,
"Mother tongue","            Chilcotin",,       0,,       0,,       0,,       5,,       0,,       0,
"Mother tongue","            Dene",,       0,,       0,,       0,,    1470,,     710,,     760,
"Mother tongue","            Dogrib (Tlicho)",,       0,,       0,,       0,,      40,,      10,,      30,
"Mother tongue","            Gwich'in",,       0,,       0,,       0,,      15,,       5,,      10,
"Mother tongue","            Sarsi (Sarcee)",,       0,,       0,,       0,,      70,,      20,,      45,
"Mother tongue","            Sekani",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Slavey-Hare languages",,       0,,       0,,       0,,     200,,      90,,     115,
"Mother tongue","              North Slavey (Hare)",,       0,,       0,,       0,,      10,,       5,,      10,
"Mother tongue","              South Slavey",,       0,,       0,,       0,,     155,,      70,,      80,
"Mother tongue","              Slavey; n.o.s.",,       0,,       0,,       0,,      35,,      15,,      25,
"Mother tongue","            Tahltan languages",,       0,,       0,,       0,,       5,,       0,,       5,
"Mother tongue","              Kaska (Nahani)",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","              Tahltan",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Tutchone languages",,       0,,       0,,       0,,       5,,       0,,       0,
"Mother tongue","              Northern Tutchone",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","              Southern Tutchone",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Athabaskan languages; n.i.e.",,       0,,       0,,       0,,      10,,       0,,      10,
"Mother tongue","        Haida",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","        Inuit languages",,       0,,       0,,       0,,     120,,      35,,      85,
"Mother tongue","          Inuinnaqtun (Inuvialuktun)",,       0,,       0,,       0,,      25,,       5,,      10,
"Mother tongue","          Inuktitut",,       0,,       0,,       0,,      60,,      20,,      45,
"Mother tongue","          Inuit languages; n.i.e.",,       0,,       0,,       0,,      35,,      10,,      30,
"Mother tongue","        Iroquoian languages",,       0,,       0,,       0,,      10,,      10,,       5,
"Mother tongue","          Cayuga",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Mohawk",,       0,,       0,,       0,,       5,,       5,,       5,
"Mother tongue","          Oneida",,       0,,       0,,       0,,       0,,       5,,       0,
"Mother tongue","          Iroquoian languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,       5,
"Mother tongue","        Kutenai",,       0,,       0,,       0,,       5,,       0,,       0,
"Mother tongue","        Michif",,       0,,       0,,       0,,      80,,      45,,      35,
"Mother tongue","        Salish languages",,       0,,       0,,       0,,      15,,       5,,      10,
"Mother tongue","          Comox",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Halkomelem",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Lillooet",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Okanagan",,       0,,       0,,       0,,       0,,       5,,       5,
"Mother tongue","          Shuswap (Secwepemctsin)",,       0,,       0,,       0,,       5,,       0,,       0,
"Mother tongue","          Squamish",,       0,,       0,,       0,,       5,,       0,,       0,
"Mother tongue","          Straits",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Thompson (Ntlakapamux)",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Salish languages; n.i.e.",,       0,,       0,,       0,,       5,,       0,,       5,
"Mother tongue","        Siouan languages",,       0,,       0,,       0,,    3370,,    1630,,    1745,
"Mother tongue","          Dakota",,       0,,       0,,       0,,     350,,     165,,     185,
"Mother tongue","          Stoney",,       0,,       0,,       0,,    3020,,    1460,,    1555,
"Mother tongue","          Siouan languages; n.i.e.",,       0,,       0,,       0,,       5,,       0,,       0,
"Mother tongue","        Tlingit",,       0,,       0,,       0,,       5,,       0,,       0,
"Mother tongue","        Tsimshian languages",,       0,,       0,,       0,,      15,,       5,,       5,
"Mother tongue","          Gitxsan (Gitksan)",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Nisga'a",,       0,,       0,,       0,,      10,,       5,,       5,
"Mother tongue","          Tsimshian",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","        Wakashan languages",,       0,,       0,,       0,,       5,,       5,,       5,
"Mother tongue","          Haisla",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Heiltsuk",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Kwakiutl (Kwak'wala)",,       0,,       0,,       0,,       0,,       0,,       5,
"Mother tongue","          Nuu-chah-nulth (Nootka)",,       0,,       0,,       0,,       0,,       5,,       0,
"Mother tongue","          Wakashan languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","        Aboriginal languages; n.o.s.",,       0,,       0,,       0,,      55,,      30,,      25,
"Mother tongue","      Non-Aboriginal languages",,    1795,,     920,,     875,,  847105,,  411850,,  435255,
"Mother tongue","        Afro-Asiatic languages",,       5,,       0,,       0,,   68415,,   36215,,   32200,
"Mother tongue","          Berber languages",,       0,,       0,,       0,,     340,,     190,,     145,
"Mother tongue","            Kabyle",,       0,,       0,,       0,,     165,,      90,,      75,
"Mother tongue","            Berber languages; n.i.e.",,       0,,       0,,       0,,     175,,     100,,      75,
"Mother tongue","          Cushitic languages",,       0,,       0,,       0,,   12525,,    6495,,    6030,
"Mother tongue","            Bilen",,       0,,       0,,       0,,     315,,     185,,     130,
"Mother tongue","            Oromo",,       0,,       0,,       0,,    2650,,    1375,,    1275,
"Mother tongue","            Somali",,       0,,       0,,       0,,    9520,,    4915,,    4605,
"Mother tongue","            Cushitic languages; n.i.e.",,       0,,       0,,       0,,      40,,      20,,      20,
"Mother tongue","          Semitic languages",,       0,,       0,,       5,,   55425,,   29450,,   25980,
"Mother tongue","            Amharic",,       0,,       0,,       0,,    7320,,    3605,,    3720,
"Mother tongue","            Arabic",,       0,,       0,,       0,,   40540,,   21840,,   18705,
"Mother tongue","            Assyrian Neo-Aramaic",,       0,,       0,,       0,,     400,,     210,,     190,
"Mother tongue","            Chaldean Neo-Aramaic",,       0,,       0,,       0,,     145,,      80,,      65,
"Mother tongue","            Harari",,       0,,       0,,       0,,     260,,     135,,     120,
"Mother tongue","            Hebrew",,       0,,       0,,       0,,     960,,     505,,     460,
"Mother tongue","            Maltese",,       0,,       0,,       0,,      75,,      30,,      40,
"Mother tongue","            Tigrigna",,       0,,       0,,       0,,    5415,,    2880,,    2535,
"Mother tongue","            Semitic languages; n.i.e.",,       0,,       0,,       0,,     305,,     155,,     145,
"Mother tongue","          Afro-Asiatic languages; n.i.e.",,       0,,       0,,       0,,     130,,      80,,      50,
"Mother tongue","        Austro-Asiatic languages",,       0,,       0,,       0,,   25295,,   11760,,   13535,
"Mother tongue","          Khmer (Cambodian)",,       0,,       0,,       0,,    1925,,     910,,    1010,
"Mother tongue","          Vietnamese",,       0,,       0,,       0,,   23350,,   10840,,   12505,
"Mother tongue","          Austro-Asiatic languages; n.i.e",,       0,,       0,,       0,,      25,,      10,,      15,
"Mother tongue","        Austronesian languages",,      15,,       0,,      15,,  115405,,   50190,,   65210,
"Mother tongue","          Bikol",,       0,,       0,,       0,,     425,,     205,,     225,
"Mother tongue","          Cebuano",,       0,,       0,,       0,,    5135,,    2155,,    2980,
"Mother tongue","          Fijian",,       0,,       0,,       0,,     125,,      75,,      50,
"Mother tongue","          Hiligaynon",,       0,,       0,,       0,,    1500,,     640,,     855,
"Mother tongue","          Ilocano",,       0,,       0,,       0,,    5350,,    2310,,    3040,
"Mother tongue","          Malagasy",,       0,,       0,,       0,,      35,,      10,,      25,
"Mother tongue","          Malay",,       0,,       0,,       0,,    1460,,     615,,     845,
"Mother tongue","          Pampangan (Kapampangan; Pampango)",,       0,,       0,,       0,,     765,,     370,,     390,
"Mother tongue","          Pangasinan",,       0,,       0,,       0,,     290,,     115,,     175,
"Mother tongue","          Tagalog (Pilipino; Filipino)",,      15,,       0,,      15,,   99035,,   43120,,   55920,
"Mother tongue","          Waray-Waray",,       0,,       0,,       0,,     305,,     145,,     160,
"Mother tongue","          Austronesian languages; n.i.e.",,       0,,       0,,       0,,     980,,     430,,     550,
"Mother tongue","        Creole languages",,       0,,       0,,       0,,    1895,,     990,,     910,
"Mother tongue","          Haitian Creole",,       0,,       0,,       0,,      95,,      45,,      50,
"Mother tongue","          Creole; n.o.s.",,       0,,       0,,       0,,    1175,,     640,,     540,
"Mother tongue","          Creole languages; n.i.e.",,       0,,       0,,       0,,     625,,     305,,     325,
"Mother tongue","        Dravidian languages",,       0,,       0,,       0,,   13490,,    7075,,    6415,
"Mother tongue","          Kannada",,       0,,       0,,       0,,     535,,     270,,     265,
"Mother tongue","          Malayalam",,       0,,       0,,       0,,    6345,,    3285,,    3060,
"Mother tongue","          Tamil",,       0,,       0,,       0,,    4430,,    2360,,    2070,
"Mother tongue","          Telugu",,       0,,       0,,       0,,    2130,,    1135,,     995,
"Mother tongue","          Dravidian languages; n.i.e.",,       0,,       0,,       0,,      50,,      25,,      25,
"Mother tongue","        Hmong-Mien languages",,       0,,       0,,       0,,     105,,      55,,      45,
"Mother tongue","        Indo-European languages",,    1745,,     905,,     840,,  442685,,  220330,,  222355,
"Mother tongue","          Albanian",,       0,,       0,,       0,,    2345,,    1270,,    1075,
"Mother tongue","          Armenian",,       0,,       0,,       0,,     500,,     250,,     245,
"Mother tongue","          Balto-Slavic languages",,      25,,      15,,      10,,   80330,,   37750,,   42580,
"Mother tongue","            Baltic languages",,       5,,       0,,       0,,    1010,,     475,,     535,
"Mother tongue","              Latvian",,       0,,       0,,       0,,     415,,     195,,     220,
"Mother tongue","              Lithuanian",,       0,,       0,,       0,,     600,,     285,,     315,
"Mother tongue","            Slavic languages",,      30,,      10,,      10,,   79325,,   37275,,   42050,
"Mother tongue","              Belarusan",,       0,,       0,,       0,,      65,,      30,,      30,
"Mother tongue","              Bosnian",,       0,,       0,,       5,,    1835,,     915,,     920,
"Mother tongue","              Bulgarian",,       0,,       0,,       0,,    1545,,     790,,     755,
"Mother tongue","              Croatian",,       0,,       0,,       0,,    4655,,    2340,,    2320,
"Mother tongue","              Czech",,       0,,       0,,       0,,    3000,,    1430,,    1575,
"Mother tongue","              Macedonian",,       0,,       0,,       0,,     360,,     185,,     175,
"Mother tongue","              Polish",,       5,,       5,,       5,,   20130,,    9425,,   10705,
"Mother tongue","              Russian",,       5,,       0,,       5,,   17810,,    8150,,    9665,
"Mother tongue","              Serbian",,       0,,       0,,       0,,    4020,,    2035,,    1985,
"Mother tongue","              Serbo-Croatian",,       0,,       0,,       0,,     970,,     480,,     485,
"Mother tongue","              Slovak",,      10,,       5,,       5,,    2185,,    1070,,    1115,
"Mother tongue","              Slovene (Slovenian)",,       0,,       0,,       0,,     695,,     320,,     370,
"Mother tongue","              Ukrainian",,       5,,       5,,       0,,   21835,,    9985,,   11850,
"Mother tongue","              Slavic languages; n.i.e.",,       0,,       0,,       0,,     215,,     120,,     100,
"Mother tongue","          Celtic languages",,       0,,       0,,       0,,     370,,     200,,     170,
"Mother tongue","            Scottish Gaelic",,       0,,       0,,       0,,     135,,      70,,      65,
"Mother tongue","            Welsh",,       0,,       0,,       0,,     175,,      85,,      80,
"Mother tongue","            Celtic languages; n.i.e.",,       0,,       0,,       0,,      65,,      40,,      25,
"Mother tongue","          Germanic languages",,    1675,,     865,,     810,,  104260,,   51525,,   52735,
"Mother tongue","            Afrikaans",,      20,,      10,,      10,,    3010,,    1475,,    1535,
"Mother tongue","            Danish",,      15,,      10,,      10,,    2380,,    1245,,    1135,
"Mother tongue","            Dutch",,      80,,      50,,      35,,   16135,,    8095,,    8045,
"Mother tongue","            Frisian",,       0,,       0,,       0,,     360,,     200,,     160,
"Mother tongue","            German",,    1550,,     800,,     750,,   80050,,   39435,,   40615,
"Mother tongue","            Icelandic",,       0,,       0,,       0,,     115,,      55,,      60,
"Mother tongue","            Norwegian",,       5,,       0,,       0,,     815,,     370,,     445,
"Mother tongue","            Swedish",,       0,,       0,,       0,,     875,,     405,,     470,
"Mother tongue","            Vlaams (Flemish)",,       0,,       0,,       0,,     320,,     150,,     170,
"Mother tongue","            Yiddish",,       0,,       0,,       0,,     140,,      70,,      70,
"Mother tongue","            Germanic languages; n.i.e.",,       5,,       0,,       5,,      55,,      30,,      25,
"Mother tongue","          Greek",,       0,,       0,,       0,,    3130,,    1655,,    1475,
"Mother tongue","          Indo-Iranian languages",,       0,,       5,,       5,,  166805,,   85250,,   81560,
"Mother tongue","            Indo-Aryan languages",,       5,,       0,,       0,,  145900,,   74320,,   71580,
"Mother tongue","              Bengali",,       0,,       0,,       0,,    7000,,    3630,,    3370,
"Mother tongue","              Gujarati",,       0,,       0,,       0,,   13140,,    6785,,    6355,
"Mother tongue","              Hindi",,       0,,       0,,       0,,   17055,,    8675,,    8385,
"Mother tongue","              Kashmiri",,       0,,       0,,       0,,     105,,      60,,      50,
"Mother tongue","              Konkani",,       0,,       0,,       0,,     370,,     190,,     185,
"Mother tongue","              Marathi",,       0,,       0,,       0,,    1510,,     775,,     730,
"Mother tongue","              Nepali",,       0,,       0,,       0,,    5175,,    2690,,    2490,
"Mother tongue","              Oriya (Odia)",,       0,,       0,,       0,,     190,,     100,,      90,
"Mother tongue","              Punjabi (Panjabi)",,       0,,       0,,       0,,   68695,,   34935,,   33760,
"Mother tongue","              Sindhi",,       0,,       0,,       0,,    2770,,    1300,,    1475,
"Mother tongue","              Sinhala (Sinhalese)",,       0,,       0,,       0,,    2590,,    1320,,    1265,
"Mother tongue","              Urdu",,       5,,       5,,       5,,   27295,,   13865,,   13430,
"Mother tongue","            Iranian languages",,       0,,       0,,       0,,   19600,,   10235,,    9365,
"Mother tongue","              Kurdish",,       0,,       0,,       0,,    1550,,     845,,     705,
"Mother tongue","              Pashto",,       0,,       0,,       0,,    2560,,    1320,,    1235,
"Mother tongue","              Persian (Farsi)",,       0,,       0,,       0,,   15490,,    8070,,    7425,
"Mother tongue","            Indo-Iranian languages; n.i.e.",,       0,,       0,,       0,,    1310,,     695,,     615,
"Mother tongue","          Italic (Romance) languages",,      40,,      20,,      15,,   84940,,   42425,,   42515,
"Mother tongue","            Catalan",,       0,,       0,,       0,,      75,,      30,,      45,
"Mother tongue","            Italian",,       0,,       0,,       0,,   11375,,    5760,,    5615,
"Mother tongue","            Portuguese",,       0,,       5,,       0,,    9050,,    4380,,    4670,
