,,,"Brooks, City [Census subdivision], Alberta",,,,,,"Division No.  2, Census division [Census division], Alberta"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
"Household and dwelling characteristics","  Movable dwelling",7,     385,,,...,,...,    2735,,,...,,...
"Household and dwelling characteristics","Total - Private households by household size - 100% data",8,    5045,,,...,,...,   62825,,,...,,...
"Household and dwelling characteristics","  1 person",,    1095,,,...,,...,   15395,,,...,,...
"Household and dwelling characteristics","  2 persons",,    1575,,,...,,...,   22905,,,...,,...
"Household and dwelling characteristics","  3 persons",,     875,,,...,,...,    9200,,,...,,...
"Household and dwelling characteristics","  4 persons",,     825,,,...,,...,    8320,,,...,,...
"Household and dwelling characteristics","  5 or more persons",,     675,,,...,,...,    7015,,,...,,...
"Household and dwelling characteristics","Number of persons in private households",,   13995,,,...,,...,  162385,,,...,,...
"Household and dwelling characteristics","Average household size",,    2.8,,,...,,...,    2.6,,,...,,...
"Marital status","Total - Marital status for the population aged 15 years and over - 100% data",9,   11155,,    5780,,    5380,,  134455,,   66645,,   67810,
"Marital status","  Married or living common law",,    6635,,    3460,,    3180,,   81230,,   40895,,   40335,
"Marital status","    Married",,    5585,,    2930,,    2650,,   69915,,   35265,,   34655,
"Marital status","    Living common law",,    1050,,     525,,     530,,   11315,,    5635,,    5680,
"Marital status","  Not married and not living common law",,    4520,,    2325,,    2200,,   53225,,   25750,,   27470,
"Marital status","    Never married",,    2930,,    1750,,    1180,,   35230,,   19610,,   15620,
"Marital status","    Separated",,     350,,     165,,     180,,    2715,,    1195,,    1515,
"Marital status","    Divorced",,     640,,     295,,     345,,    8385,,    3505,,    4875,
"Marital status","    Widowed",,     600,,     115,,     490,,    6895,,    1440,,    5455,
"Family characteristics","Total - Census families in private households by family size - 100% data",10,    3700,,,...,,...,   44800,,,...,,...
"Family characteristics","  2 persons",,    1630,,,...,,...,   22955,,,...,,...
"Family characteristics","  3 persons",,     800,,,...,,...,    8335,,,...,,...
"Family characteristics","  4 persons",,     765,,,...,,...,    7725,,,...,,...
"Family characteristics","  5 or more persons",,     505,,,...,,...,    5785,,,...,,...
"Family characteristics","Average size of census families",,    3.1,,,...,,...,    3.0,,,...,,...
"Family characteristics","Total number of census families in private households - 100% data",11,    3700,,,...,,...,   44800,,,...,,...
"Family characteristics","  Total couple families",,    3040,,,...,,...,   38715,,,...,,...
"Family characteristics","    Married couples",,    2515,,,...,,...,   33055,,,...,,...
"Family characteristics","    Common-law couples",,     525,,,...,,...,    5655,,,...,,...
"Family characteristics","  Total lone-parent families by sex of parent",,     665,,,...,,...,    6090,,,...,,...
"Family characteristics","    Female parent",,     530,,,...,,...,    4745,,,...,,...
"Family characteristics","    Male parent",,     130,,,...,,...,    1345,,,...,,...
"Family characteristics","Total - Couple census families in private households - 100% data",,    3040,,,...,,...,   38715,,,...,,...
"Family characteristics","  Couples without children",,    1280,,,...,,...,   19270,,,...,,...
"Family characteristics","  Couples with children",,    1765,,,...,,...,   19440,,,...,,...
"Family characteristics","    1 child",,     600,,,...,,...,    6700,,,...,,...
"Family characteristics","    2 children",,     695,,,...,,...,    7190,,,...,,...
"Family characteristics","    3 or more children",,     465,,,...,,...,    5550,,,...,,...
"Family characteristics","Total - Lone-parent census families in private households - 100% data",,     660,,,...,,...,    6090,,,...,,...
"Family characteristics","  1 child",,     355,,,...,,...,    3685,,,...,,...
"Family characteristics","  2 children",,     200,,,...,,...,    1635,,,...,,...
"Family characteristics","  3 or more children",,     105,,,...,,...,     775,,,...,,...
"Family characteristics","Total - Persons not in census families in private households - 100% data",,    2535,,    1625,,     910,,   27690,,   14375,,   13320,
"Household type","Total - Private households by household type - 100% data",12,    5045,,,...,,...,   62820,,,...,,...
"Household type","  One-census-family households",,    3460,,,...,,...,   42930,,,...,,...
"Household type","    Without children in a census family",13,    1190,,,...,,...,   18565,,,...,,...
"Household type","    With children in a census family",14,    2265,,,...,,...,   24365,,,...,,...
"Household type","  Multiple-census-family households",,     120,,,...,,...,     915,,,...,,...
"Household type","  Non-census-family households",,    1470,,,...,,...,   18975,,,...,,...
"Household type","    One-person households",,    1100,,,...,,...,   15395,,,...,,...
"Household type","    Two-or-more person non-census-family households",,     370,,,...,,...,    3580,,,...,,...
"Knowledge of official languages","Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",15,   14335,,    7435,,    6905,,  167820,,   83975,,   83850,
"Knowledge of official languages","  English only",,   13460,,    7020,,    6440,,  158980,,   79790,,   79190,
"Knowledge of official languages","  French only",,      55,,      30,,      30,,     110,,      50,,      60,
"Knowledge of official languages","  English and French",,     475,,     255,,     225,,    6355,,    3025,,    3335,
"Knowledge of official languages","  Neither English nor French",,     350,,     135,,     210,,    2375,,    1115,,    1260,
"First official language spoken","Total - First official language spoken for the total population excluding institutional residents - 100% data",16,   14335,,    7435,,    6905,,  167820,,   83975,,   83850,
"First official language spoken","  English",,   13665,,    7105,,    6555,,  163750,,   81960,,   81790,
"First official language spoken","  French",,     235,,     125,,     105,,    1410,,     735,,     675,
"First official language spoken","  English and French",,     100,,      65,,      40,,     330,,     185,,     140,
"First official language spoken","  Neither English nor French",,     340,,     135,,     205,,    2325,,    1090,,    1235,
"First official language spoken","Official language minority (number)",17,     280,,     155,,     120,,    1580,,     830,,     745,
"First official language spoken","Official language minority (percentage)",17,    2.0,,    2.1,,    1.7,,    0.9,,    1.0,,    0.9,
"Mother tongue","Total - Mother tongue for the total population excluding institutional residents - 100% data",18,   14335,,    7430,,    6905,,  167825,,   83975,,   83850,
"Mother tongue","  Single responses",,   13885,,    7185,,    6700,,  165305,,   82695,,   82610,
"Mother tongue","    Official languages",,    9470,,    4795,,    4680,,  133430,,   66675,,   66755,
"Mother tongue","      English",,    9300,,    4710,,    4590,,  131980,,   65930,,   66050,
"Mother tongue","      French",,     170,,      90,,      85,,    1455,,     745,,     705,
"Mother tongue","    Non-official languages",,    4415,,    2390,,    2025,,   31865,,   16020,,   15850,
"Mother tongue","      Aboriginal languages",,      10,,       5,,      10,,     325,,     145,,     180,
"Mother tongue","        Algonquian languages",,       5,,       0,,       5,,     305,,     135,,     170,
"Mother tongue","          Blackfoot",,       0,,       0,,       0,,     265,,     120,,     145,
"Mother tongue","          Cree-Montagnais languages",,       5,,       5,,       5,,      35,,      15,,      20,
"Mother tongue","            Atikamekw",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Montagnais (Innu)",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Moose Cree",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Naskapi",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Northern East Cree",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Plains Cree",,       0,,       0,,       0,,       5,,       5,,       0,
"Mother tongue","            Southern East Cree",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Swampy Cree",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Woods Cree",,       0,,       0,,       0,,       5,,       0,,       5,
"Mother tongue","            Cree; n.o.s.",,       5,,       5,,       0,,      25,,      10,,      15,
"Mother tongue","          Eastern Algonquian languages",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Malecite",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Mi'kmaq",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Ojibway-Potawatomi languages",,       0,,       0,,       0,,       5,,       5,,       5,
"Mother tongue","            Algonquin",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Ojibway",,       0,,       0,,       0,,       5,,       0,,       5,
"Mother tongue","            Oji-Cree",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Ottawa (Odawa)",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Algonquian languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","        Athabaskan languages",,       5,,       0,,       5,,      10,,       0,,       5,
"Mother tongue","          Northern Athabaskan languages",,       0,,       0,,       0,,       5,,       0,,       0,
"Mother tongue","            Babine (Wetsuwet'en)",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Beaver",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Carrier",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Chilcotin",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Dene",,       0,,       0,,       5,,       5,,       0,,       5,
"Mother tongue","            Dogrib (Tlicho)",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Gwich'in",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Sarsi (Sarcee)",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Sekani",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Slavey-Hare languages",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","              North Slavey (Hare)",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","              South Slavey",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","              Slavey; n.o.s.",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Tahltan languages",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","              Kaska (Nahani)",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","              Tahltan",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Tutchone languages",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","              Northern Tutchone",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","              Southern Tutchone",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Athabaskan languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","        Haida",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","        Inuit languages",,       0,,       5,,       0,,       5,,       0,,       5,
"Mother tongue","          Inuinnaqtun (Inuvialuktun)",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Inuktitut",,       0,,       0,,       5,,       5,,       0,,       0,
"Mother tongue","          Inuit languages; n.i.e.",,       0,,       5,,       0,,       0,,       5,,       5,
"Mother tongue","        Iroquoian languages",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Cayuga",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Mohawk",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Oneida",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Iroquoian languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","        Kutenai",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","        Michif",,       0,,       0,,       0,,       0,,       0,,       5,
"Mother tongue","        Salish languages",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Comox",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Halkomelem",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Lillooet",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Okanagan",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Shuswap (Secwepemctsin)",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Squamish",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Straits",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Thompson (Ntlakapamux)",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Salish languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","        Siouan languages",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Dakota",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Stoney",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Siouan languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","        Tlingit",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","        Tsimshian languages",,       5,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Gitxsan (Gitksan)",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Nisga'a",,       5,,       0,,       0,,       5,,       0,,       0,
"Mother tongue","          Tsimshian",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","        Wakashan languages",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Haisla",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Heiltsuk",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Kwakiutl (Kwak'wala)",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Nuu-chah-nulth (Nootka)",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Wakashan languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","        Aboriginal languages; n.o.s.",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","      Non-Aboriginal languages",,    4400,,    2385,,    2015,,   31540,,   15875,,   15665,
"Mother tongue","        Afro-Asiatic languages",,    1365,,     765,,     600,,    1960,,    1100,,     860,
"Mother tongue","          Berber languages",,      10,,       5,,       0,,      15,,       5,,       5,
"Mother tongue","            Kabyle",,       0,,       0,,       0,,       5,,       0,,       0,
"Mother tongue","            Berber languages; n.i.e.",,      10,,       5,,       0,,      10,,      10,,       5,
"Mother tongue","          Cushitic languages",,     995,,     565,,     430,,    1055,,     595,,     455,
"Mother tongue","            Bilen",,      10,,       5,,       5,,      10,,       5,,       5,
"Mother tongue","            Oromo",,     430,,     230,,     205,,     455,,     240,,     215,
"Mother tongue","            Somali",,     550,,     330,,     225,,     585,,     345,,     240,
"Mother tongue","            Cushitic languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Semitic languages",,     355,,     195,,     160,,     890,,     495,,     400,
"Mother tongue","            Amharic",,      95,,      50,,      45,,     150,,      75,,      70,
"Mother tongue","            Arabic",,     205,,     110,,      90,,     620,,     345,,     275,
"Mother tongue","            Assyrian Neo-Aramaic",,       5,,       5,,       5,,       5,,       0,,       5,
"Mother tongue","            Chaldean Neo-Aramaic",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Harari",,       5,,       5,,       0,,       5,,       5,,       5,
"Mother tongue","            Hebrew",,       5,,       0,,       5,,       5,,       0,,       5,
"Mother tongue","            Maltese",,       0,,       0,,       0,,       0,,       5,,       5,
"Mother tongue","            Tigrigna",,      45,,      30,,      15,,      95,,      60,,      35,
"Mother tongue","            Semitic languages; n.i.e.",,       0,,       0,,       5,,       5,,       0,,       0,
"Mother tongue","          Afro-Asiatic languages; n.i.e.",,       0,,       0,,       5,,       5,,       5,,       5,
"Mother tongue","        Austro-Asiatic languages",,     115,,      60,,      55,,     355,,     165,,     190,
"Mother tongue","          Khmer (Cambodian)",,      95,,      45,,      50,,     120,,      55,,      65,
"Mother tongue","          Vietnamese",,      20,,      10,,       5,,     240,,     115,,     130,
"Mother tongue","          Austro-Asiatic languages; n.i.e",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","        Austronesian languages",,    1050,,     550,,     500,,    2605,,    1230,,    1370,
"Mother tongue","          Bikol",,      10,,       5,,       5,,      20,,      10,,       5,
"Mother tongue","          Cebuano",,     145,,      65,,      75,,     215,,     105,,     115,
"Mother tongue","          Fijian",,       0,,       0,,       0,,       0,,       5,,       0,
"Mother tongue","          Hiligaynon",,       5,,       5,,       5,,      25,,      10,,      10,
"Mother tongue","          Ilocano",,      40,,      25,,      15,,      75,,      40,,      35,
"Mother tongue","          Malagasy",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Malay",,       5,,       5,,       5,,      15,,       5,,      10,
"Mother tongue","          Pampangan (Kapampangan; Pampango)",,      10,,       5,,       5,,      35,,      15,,      20,
"Mother tongue","          Pangasinan",,       0,,       0,,       0,,       5,,       0,,       0,
"Mother tongue","          Tagalog (Pilipino; Filipino)",,     790,,     415,,     380,,    2160,,    1005,,    1155,
"Mother tongue","          Waray-Waray",,      30,,      15,,      15,,      30,,      15,,      15,
"Mother tongue","          Austronesian languages; n.i.e.",,      10,,       0,,       5,,      25,,      10,,      10,
"Mother tongue","        Creole languages",,      10,,       5,,      10,,      30,,      25,,      15,
"Mother tongue","          Haitian Creole",,       0,,       0,,       0,,       0,,       5,,       0,
"Mother tongue","          Creole; n.o.s.",,       5,,       0,,       0,,      20,,      15,,      10,
"Mother tongue","          Creole languages; n.i.e.",,       5,,       5,,       5,,       5,,       5,,       5,
"Mother tongue","        Dravidian languages",,      10,,       5,,       5,,      90,,      50,,      40,
"Mother tongue","          Kannada",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Malayalam",,       5,,       0,,       5,,      55,,      25,,      25,
"Mother tongue","          Tamil",,       0,,       0,,       0,,      15,,      10,,       5,
"Mother tongue","          Telugu",,       5,,       0,,       0,,      20,,      15,,      10,
"Mother tongue","          Dravidian languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","        Hmong-Mien languages",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","        Indo-European languages",,    1115,,     630,,     490,,   23105,,   11645,,   11460,
"Mother tongue","          Albanian",,       0,,       0,,       0,,      60,,      40,,      25,
"Mother tongue","          Armenian",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Balto-Slavic languages",,      85,,      45,,      40,,    1625,,     720,,     900,
"Mother tongue","            Baltic languages",,       0,,       5,,       0,,      30,,      15,,      10,
"Mother tongue","              Latvian",,       0,,       0,,       0,,      10,,       5,,       5,
"Mother tongue","              Lithuanian",,       0,,       0,,       0,,      20,,      15,,       5,
"Mother tongue","            Slavic languages",,      85,,      45,,      45,,    1595,,     705,,     890,
"Mother tongue","              Belarusan",,       0,,       0,,       0,,       0,,       5,,       0,
"Mother tongue","              Bosnian",,      10,,       5,,       5,,      70,,      35,,      30,
"Mother tongue","              Bulgarian",,       0,,       0,,       0,,       5,,       5,,       0,
"Mother tongue","              Croatian",,       0,,       5,,       0,,     205,,      90,,     115,
"Mother tongue","              Czech",,       0,,       0,,       0,,      70,,      35,,      35,
"Mother tongue","              Macedonian",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","              Polish",,      10,,       5,,       5,,     500,,     215,,     290,
"Mother tongue","              Russian",,      20,,      10,,      10,,     180,,      80,,     100,
"Mother tongue","              Serbian",,       0,,       0,,       0,,      50,,      25,,      25,
"Mother tongue","              Serbo-Croatian",,       0,,       0,,       0,,       0,,       0,,       5,
"Mother tongue","              Slovak",,       5,,       5,,       5,,      80,,      40,,      40,
"Mother tongue","              Slovene (Slovenian)",,       0,,       0,,       0,,      40,,      15,,      25,
"Mother tongue","              Ukrainian",,      45,,      15,,      20,,     355,,     145,,     210,
"Mother tongue","              Slavic languages; n.i.e.",,       0,,       0,,       0,,      25,,      10,,      15,
"Mother tongue","          Celtic languages",,       0,,       5,,       0,,       5,,      10,,       0,
"Mother tongue","            Scottish Gaelic",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Welsh",,       5,,       0,,       0,,       5,,       5,,       5,
"Mother tongue","            Celtic languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Germanic languages",,     215,,     125,,      95,,   16395,,    8230,,    8160,
"Mother tongue","            Afrikaans",,      15,,       5,,      10,,     125,,      65,,      65,
"Mother tongue","            Danish",,       0,,       5,,       0,,      90,,      50,,      40,
"Mother tongue","            Dutch",,      35,,      15,,      25,,    2475,,    1275,,    1195,
"Mother tongue","            Frisian",,       0,,       0,,       0,,      55,,      35,,      20,
"Mother tongue","            German",,     165,,     100,,      60,,   13555,,    6775,,    6780,
"Mother tongue","            Icelandic",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Norwegian",,       0,,       0,,       0,,      30,,      15,,      20,
"Mother tongue","            Swedish",,       0,,       0,,       0,,      20,,       5,,      15,
"Mother tongue","            Vlaams (Flemish)",,       0,,       0,,       0,,      25,,       5,,      15,
"Mother tongue","            Yiddish",,       0,,       0,,       0,,       5,,       0,,       0,
"Mother tongue","            Germanic languages; n.i.e.",,       0,,       0,,       0,,      10,,       5,,       5,
"Mother tongue","          Greek",,       5,,       5,,       0,,      40,,      35,,      10,
"Mother tongue","          Indo-Iranian languages",,     210,,     120,,      85,,    2185,,    1130,,    1050,
"Mother tongue","            Indo-Aryan languages",,     175,,     105,,      75,,    1835,,     950,,     890,
"Mother tongue","              Bengali",,       0,,       0,,       0,,     100,,      55,,      45,
"Mother tongue","              Gujarati",,       0,,       0,,       5,,     160,,      95,,      70,
"Mother tongue","              Hindi",,      20,,      10,,      10,,      85,,      40,,      45,
"Mother tongue","              Kashmiri",,       0,,       0,,       0,,       5,,       0,,       0,
"Mother tongue","              Konkani",,       5,,       5,,       5,,       5,,       5,,       0,
"Mother tongue","              Marathi",,       0,,       0,,       0,,       5,,       0,,       0,
"Mother tongue","              Nepali",,      10,,       5,,       0,,     975,,     485,,     490,
"Mother tongue","              Oriya (Odia)",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","              Punjabi (Panjabi)",,      75,,      45,,      30,,     215,,     120,,      95,
"Mother tongue","              Sindhi",,       0,,       0,,       0,,      20,,       5,,      15,
"Mother tongue","              Sinhala (Sinhalese)",,       0,,       0,,       0,,      45,,      25,,      25,
"Mother tongue","              Urdu",,      75,,      45,,      30,,     225,,     125,,     105,
"Mother tongue","            Iranian languages",,      20,,      10,,       5,,     335,,     175,,     160,
"Mother tongue","              Kurdish",,       0,,       0,,       0,,      20,,      10,,      10,
"Mother tongue","              Pashto",,      20,,      15,,       5,,      70,,      35,,      35,
"Mother tongue","              Persian (Farsi)",,       0,,       0,,       0,,     245,,     135,,     120,
"Mother tongue","            Indo-Iranian languages; n.i.e.",,      10,,       5,,       0,,      10,,       5,,       5,
"Mother tongue","          Italic (Romance) languages",,     605,,     340,,     265,,    2790,,    1485,,    1305,
"Mother tongue","            Catalan",,       0,,       0,,       0,,       5,,       0,,       0,
"Mother tongue","            Italian",,       5,,       5,,       0,,     295,,     155,,     140,
"Mother tongue","            Portuguese",,       0,,       0,,       0,,      95,,      45,,      50,
"Mother tongue","            Romanian",,       5,,       5,,       5,,      85,,      50,,      40,
"Mother tongue","            Spanish",,     590,,     330,,     265,,    2315,,    1240,,    1075,
"Mother tongue","            Italic (Romance) languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","        Japanese",,       5,,       5,,       5,,     440,,     200,,     245,
